"PI","grid","Community_type","Latitude","Longitude","Adjusted_latitude","Elevation","ydiv","STA_avg_EVI","STA_max_EVI","phe_var_based_EVI","MAT","MAP","MAT_scale","MAP_scale"
"Wellstein",132,"alpine.grass",42.95378439,13.01656839,53.8456762818919,1209,4.158883083,2.293368028,2.731286337,-0.274039441,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
"Wellstein",133,"alpine.grass",42.95428657,13.01956789,53.6569892727027,1188,3.951243719,2.252612194,2.279053141,-0.205910139,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
"Wellstein",134,"alpine.grass",42.95438038,13.01978553,53.6570830827027,1188,4.007333185,2.252070072,2.285499146,-0.190095025,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
"Wellstein",135,"alpine.grass",42.95446182,13.01720859,53.6571645227027,1188,4.043051268,2.252612194,2.279053141,-0.205910139,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
"Wellstein",136,"alpine.grass",42.95454019,13.01757384,53.6572428927027,1188,3.931825633,2.252612194,2.279053141,-0.205910139,12.2481818181818,746.431818181818,0.418271330282406,0.534985673438236
"Wilson",137,"temp.grass",-45.67961,170.62292,46.5624928828829,98,3.091042453,2.613924091,2.467325247,-0.744098418,10.1672727272727,508.647272727273,0.11008884922408,-0.275395275491076
"Wilson",138,"temp.grass",-45.6792733,170.622383,46.5621561828829,98,2.944438979,2.613924091,2.467325247,-0.744098418,10.1672727272727,508.647272727273,0.11008884922408,-0.275395275491076
"Zobel",139,"temp.grass",58.57879722,23.55701944,58.605824247027,3,4.33073334,2.466230016,2.100124304,0.589848172,7.07545454545455,510.564545454545,-0.347809192750305,-0.268861119584882
"Zobel",140,"temp.grass",58.57879722,23.55701944,58.605824247027,3,4.276666119,2.466230016,2.100124304,0.589848172,7.07545454545455,510.564545454545,-0.347809192750305,-0.268861119584882
"Zobel",145,"temp.grass",58.1,27.06666667,58.7396396396396,71,3.433987204,2.850415301,3.56894646,-0.531055892,5.40727272727273,653.427272727273,-0.594866795520959,0.218021794830736
"Zobel",146,"temp.grass",58.1,27.06666667,58.7396396396396,71,3.663561646,2.850415301,3.56894646,-0.531055892,5.40727272727273,653.427272727273,-0.594866795520959,0.218021794830736
"Zobel",147,"temp.grass",58.46666667,26.23333333,58.8090090123423,38,3.555348061,2.405085634,2.436569309,0.549402762,5.64636363636364,584.871818181818,-0.559457449728762,-0.0156184285177811
"Zobel",148,"temp.grass",58.46666667,26.23333333,58.8090090123423,38,3.135494216,2.405085634,2.436569309,0.549402762,5.64636363636364,584.871818181818,-0.559457449728762,-0.0156184285177811
"Bartha",149,"temp.grass",46.875217,19.397583,47.866207990991,110,3.218875825,2.456282602,2.872394068,-0.610575369,11.8381818181818,556.587272727273,0.357550360882098,-0.112013493813858
"Bartha",150,"temp.grass",46.876533,19.3969,47.867523990991,110,3.295836866,2.456282602,2.872394068,-0.610575369,11.8381818181818,556.587272727273,0.357550360882098,-0.112013493813858
"Bartha",151,"temp.grass",46.356617,20.9795,47.2034638468468,94,3.988984047,2.339941367,2.436288543,-0.063845619,12.35,566.175454545454,0.433350595410642,-0.0793365178334728
"Bartha",152,"temp.grass",46.355033,20.97995,47.2018798468468,94,3.737669618,2.478621181,2.588156703,-0.344486351,12.35,566.175454545454,0.433350595410642,-0.0793365178334728
"Diaz",153,"temp.grass",-31.12656111,-64.42582778,42.8382728217117,1300,4.564348191,2.763999506,2.655318218,-0.958826673,15.1845454545455,737.320909090909,0.853146565677073,0.50393526542881
"Diaz",154,"temp.grass",-31.12670278,-64.42644167,42.8384144917117,1300,4.521788577,2.763999506,2.655318218,-0.958826673,15.1845454545455,737.320909090909,0.853146565677073,0.50393526542881
"Diaz",155,"temp.grass",-31.13091944,-64.41813056,42.2570455661261,1235,4.343805422,2.59202187,2.855205522,-0.950084102,15.1845454545455,737.320909090909,0.853146565677073,0.50393526542881
